kernel,parameter,pipelineWidth,robSize,branchPredictor,l1Size,l1Associativity,l1ReplacementPolicy,l1Prefetcher,l2Size,l2Associativity,l2ReplacementPolicy,l2Prefetcher,ipc,cpi,simSeconds,numInstructions,numCycles,branchLookups,branchMispredicted,branchMispredictionRate,l1iAccesses,l1iMisses,l1iHitRate,l1iAvgMissLatency,l1iAMATCycles,icacheStallCycles,l1dAccesses,l1dHits,l1dMisses,l1dHitRate,l1dAMATCycles,l2Accesses,l2Misses,l2HitRate,l2AvgMissLatency,l2AMATCycles,l2MPKI,dramReadAccesses,dramWriteAccesses,memAvgLat,commitSquashedInsts,memOrderViolations,dispatchRenameStalls,dispatchIssueStalls,iqFullEvents,dramTotalEnergy,dramAveragePower
compute,baseline,4,192,tournament,32KiB,4,None,None,256KiB,8,None,None,2.285297,0.43758,0.004596,33613812.0,14682751.0,1048734.0,3.0,2.8605919136787783e-06,4195018.0,2.0,0.9999995232440004,74337.5,1.0000201824163786,100.0,21686535.0,21686535.0,0.0,1.0,1.0,2.0,1.0,0.5,141476.0,42.3328,2.97496755202891e-05,3.0,0.0,20208.0,3685.0,191.0,340.0,340.0,0.0,2140461555.0,465.753
compute,l1a_2,4,192,tournament,32KiB,2,None,None,256KiB,8,None,None,2.285297,0.43758,0.004596,33613812.0,14682750.0,1048734.0,3.0,2.8605919136787783e-06,4195018.0,2.0,0.9999995232440004,74337.5,1.0000201824163786,100.0,21643803.0,21643803.0,0.0,1.0,1.0,2.0,1.0,0.5,141476.0,42.3328,2.97496755202891e-05,3.0,0.0,20208.0,3678.0,191.0,340.0,340.0,0.0,2140465875.0,465.753971
compute,l1a_8,4,192,tournament,32KiB,8,None,None,256KiB,8,None,None,2.285297,0.43758,0.004596,33613812.0,14682750.0,1048734.0,3.0,2.8605919136787783e-06,4195018.0,2.0,0.9999995232440004,74337.5,1.0000201824163786,100.0,21643805.0,21643805.0,0.0,1.0,1.0,2.0,1.0,0.5,141476.0,42.3328,2.97496755202891e-05,3.0,0.0,20208.0,3678.0,191.0,340.0,340.0,0.0,2140462995.0,465.753345
compute,l1p_stride,4,192,tournament,32KiB,4,None,stride,256KiB,8,None,None,2.285297,0.43758,0.004596,33613812.0,14682751.0,1048734.0,3.0,2.8605919136787783e-06,4195018.0,2.0,0.9999995232440004,74337.5,1.0000201824163786,100.0,21686535.0,21686535.0,0.0,1.0,1.0,2.0,1.0,0.5,141476.0,42.3328,2.97496755202891e-05,3.0,0.0,20208.0,3685.0,191.0,340.0,340.0,0.0,2140461555.0,465.753
compute,l1p_tagged,4,192,tournament,32KiB,4,None,tagged,256KiB,8,None,None,2.285317,0.437576,0.004596,33613812.0,14682618.0,1048735.0,3.0,2.8605891860193472e-06,4195018.0,1.0,0.9999997616220002,102664.0,,90.0,21686535.0,21686535.0,0.0,1.0,,,,,,,,3.0,0.0,18750.0,3685.0,191.0,340.0,340.0,0.0,2138982765.0,465.435439
compute,l1rp_lru,4,192,tournament,32KiB,4,lru,None,256KiB,8,None,None,2.285297,0.43758,0.004596,33613812.0,14682750.0,1048734.0,3.0,2.8605919136787783e-06,4195018.0,2.0,0.9999995232440004,74337.5,1.0000201824163786,100.0,21643805.0,21643805.0,0.0,1.0,1.0,2.0,1.0,0.5,141476.0,42.3328,2.97496755202891e-05,3.0,0.0,20208.0,3678.0,191.0,340.0,340.0,0.0,2140463955.0,465.753553
compute,l1rp_plru,4,192,tournament,32KiB,4,plru,None,256KiB,8,None,None,2.285297,0.43758,0.004596,33613812.0,14682751.0,1048734.0,3.0,2.8605919136787783e-06,4195018.0,2.0,0.9999995232440004,74337.5,1.0000201824163786,100.0,21686535.0,21686535.0,0.0,1.0,1.0,2.0,1.0,0.5,141476.0,42.3328,2.97496755202891e-05,3.0,0.0,20208.0,3685.0,191.0,340.0,340.0,0.0,2140461555.0,465.753
compute,l1rp_random,4,192,tournament,32KiB,4,random,None,256KiB,8,None,None,2.285297,0.43758,0.004596,33613812.0,14682751.0,1048733.0,3.0,2.8605946413434114e-06,4195017.0,3.0,0.9999992848658301,49558.333333,1.0000225662017574,102.0,21686530.0,21686530.0,0.0,1.0,1.0,3.0,1.0,0.6666666666666667,141476.0,31.555199999999996,2.97496755202891e-05,3.0,0.0,20208.0,3682.0,191.0,340.0,340.0,0.0,2140466805.0,465.754142
compute,l1s_16KiB,4,192,tournament,16KiB,4,None,None,256KiB,8,None,None,2.285297,0.43758,0.004596,33613812.0,14682752.0,1048734.0,3.0,2.8605919136787783e-06,4195018.0,2.0,0.9999995232440004,74337.5,1.0000201824163786,100.0,21572379.0,21572379.0,0.0,1.0,1.0,2.0,1.0,0.5,141476.0,42.3328,2.97496755202891e-05,3.0,0.0,20208.0,3684.0,190.0,341.0,341.0,0.0,2140620705.0,465.787598
compute,l1s_64KiB,4,192,tournament,64KiB,4,None,None,256KiB,8,None,None,2.285297,0.43758,0.004596,33613812.0,14682750.0,1048735.0,3.0,2.8605891860193472e-06,4195018.0,1.0,0.9999997616220002,144293.0,1.0000177986363807,97.0,21643805.0,21643805.0,0.0,1.0,1.0,1.0,1.0,0.0,141476.0,74.6656,2.97496755202891e-05,3.0,0.0,20208.0,3678.0,191.0,340.0,340.0,0.0,2140450035.0,465.750525
compute,l2a_16,4,192,tournament,32KiB,4,None,None,256KiB,16,None,None,2.285297,0.43758,0.004596,33613812.0,14682751.0,1048734.0,3.0,2.8605919136787783e-06,4195018.0,2.0,0.9999995232440004,74337.5,1.0000201824163786,100.0,21686535.0,21686535.0,0.0,1.0,1.0,2.0,1.0,0.5,141476.0,42.3328,2.97496755202891e-05,3.0,0.0,20208.0,3685.0,191.0,340.0,340.0,0.0,2140461555.0,465.753
compute,l2a_32,4,192,tournament,32KiB,4,None,None,256KiB,32,None,None,2.285297,0.43758,0.004596,33613812.0,14682751.0,1048734.0,3.0,2.8605919136787783e-06,4195018.0,2.0,0.9999995232440004,74337.5,1.0000201824163786,100.0,21686535.0,21686535.0,0.0,1.0,1.0,2.0,1.0,0.5,141476.0,42.3328,2.97496755202891e-05,3.0,0.0,20208.0,3685.0,191.0,340.0,340.0,0.0,2140461555.0,465.753
compute,l2p_ampm,4,192,tournament,32KiB,4,None,None,256KiB,8,None,ampm,2.285332,0.437573,0.004596,33613812.0,14682522.0,1048734.0,3.0,2.8605919136787783e-06,4195017.0,1.0,0.9999997616219434,97656.0,,78.0,21686528.0,21686528.0,0.0,1.0,,1.0,,,,,,0.0,0.0,,3682.0,191.0,340.0,340.0,0.0,2140605300.0,465.791542
compute,l2p_signature,4,192,tournament,32KiB,4,None,None,256KiB,8,None,signature,2.285322,0.437575,0.004596,33613812.0,14682589.0,1048733.0,3.0,2.8605946413434114e-06,4195015.0,3.0,0.9999992848654892,35786.333333,1.0000364661389762,99.0,21686529.0,21686529.0,0.0,1.0,1.0,2.0,1.0,0.5,98595.0,50.992,2.97496755202891e-05,1.0,0.0,25620.0,3660.0,191.0,337.0,337.0,0.0,2139430170.0,465.533712
compute,l2p_stride,4,192,tournament,32KiB,4,None,None,256KiB,8,None,stride,2.285297,0.43758,0.004596,33613812.0,14682751.0,1048734.0,3.0,2.8605919136787783e-06,4195018.0,2.0,0.9999995232440004,74337.5,1.0000201824163786,100.0,21686535.0,21686535.0,0.0,1.0,1.0,2.0,1.0,0.5,141476.0,42.3328,2.97496755202891e-05,3.0,0.0,20208.0,3685.0,191.0,340.0,340.0,0.0,2140461555.0,465.753
